Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Peas & beans (Pulses),2006,Rabi       ,Chhattisgarh,16217,5789,1317.2,2071073.07,3567.74,0.324117647
Potato,2006,Kharif     ,Chhattisgarh,1781,7189,1317.2,227451.51,391.82,6.25
Potato,2006,Rabi       ,Chhattisgarh,9513,37815,1317.2,1214905.23,2092.86,4.25125
Rice,2006,Kharif     ,Chhattisgarh,3905319,5441525,1317.2,498748289.5,859170.18,1.247222222
Wheat,2006,Rabi       ,Chhattisgarh,93213,93952,1317.2,11904232.23,20506.86,1.06
Potato,2006,Whole Year ,Delhi,55,873,462.7,7024.05,12.1,15.87
Rice,2006,Kharif     ,Delhi,7381,20815,462.7,942627.51,1623.82,2.82
Wheat,2006,Rabi       ,Delhi,17884,77885,462.7,2283965.64,3934.48,4.36
Banana,2006,Whole Year ,Gujarat,26600,1891800,1056.2,3397086,5852,57.65846154
Cotton(lint),2006,Kharif     ,Gujarat,2372100,7876400,1056.2,302940891,521862,3.100909091
Onion,2006,Whole Year ,Gujarat,43300,1051800,1056.2,5529843,9526,21.8045
Potato,2006,Whole Year ,Gujarat,51700,1078400,1056.2,6602607,11374,20.45727273
Rice,2006,Kharif     ,Gujarat,655600,1045200,1056.2,83726676,144232,1.601875
Rice,2006,Summer     ,Gujarat,33700,96000,1056.2,4303827,7414,2.855555556
Wheat,2006,Rabi       ,Gujarat,1072300,2791500,1056.2,136943433,235906,2.5696
Cotton(lint),2006,Kharif     ,Haryana,527693,1805000,329.3,67391673.03,116092.46,1.556315789
Onion,2006,Whole Year ,Haryana,2543,49700,329.3,324766.53,559.46,18.98352941
Peas & beans (Pulses),2006,Rabi       ,Haryana,969,1200,329.3,123750.99,213.18,0.849
Potato,2006,Whole Year ,Haryana,12826,319900,329.3,1638008.46,2821.72,21.90714286
Rice,2006,Kharif     ,Haryana,1042036,3371000,329.3,133078417.6,229247.92,2.8545
Wheat,2006,Rabi       ,Haryana,2377067,10059000,329.3,303575226.6,522954.74,4.062
Cotton(lint),2006,Kharif     ,Himachal Pradesh,55,23,1207,7024.05,12.1,0.5325
Onion,2006,Rabi       ,Himachal Pradesh,893,7617,1207,114045.03,196.46,8.546
Peas & beans (Pulses),2006,Rabi       ,Himachal Pradesh,8170,16856,1207,1043390.7,1797.4,1.513
Potato,2006,Whole Year ,Himachal Pradesh,12687,126701,1207,1620256.77,2791.14,10.05416667
Rice,2006,Kharif     ,Himachal Pradesh,79206,123485,1207,10115398.26,17425.32,1.750909091
Wheat,2006,Rabi       ,Himachal Pradesh,362245,596493,1207,46262308.95,79693.9,1.6375
Banana,2006,Whole Year ,Madhya Pradesh,14836,469134,1072.3,1894705.56,3263.92,21.7195
Cotton(lint),2006,Kharif     ,Madhya Pradesh,629739,820039,1072.3,80423967.69,138542.58,1.118181818
Onion,2006,Whole Year ,Madhya Pradesh,37825,629635,1072.3,4830630.75,8321.5,14.81125
Peas & beans (Pulses),2006,Rabi       ,Madhya Pradesh,189486,83842,1072.3,24199257.06,41686.92,0.455
Potato,2006,Whole Year ,Madhya Pradesh,48540,648203,1072.3,6199043.4,10678.8,12.9512766
Rice,2006,Kharif     ,Madhya Pradesh,1674013,1389269,1072.3,213788200.2,368282.86,0.856666667
Wheat,2006,Rabi       ,Madhya Pradesh,4262382,7840446,1072.3,544348805.2,937724.04,1.73125
Cotton(lint),2006,Kharif     ,Maharashtra,3106900,4617500,1439.4,396782199,683518,1.454444444
Rice,2006,Kharif     ,Maharashtra,1491300,2488600,1439.4,190453923,328086,1.166333333
Rice,2006,Summer     ,Maharashtra,38000,81100,1439.4,4852980,8360,2.176
Wheat,2006,Rabi       ,Maharashtra,1230800,1871000,1439.4,157185468,270776,1.451666667
Cotton(lint),2006,Kharif     ,Nagaland,200,40,1362.5,25542,44,0.335
Peas & beans (Pulses),2006,Kharif     ,Nagaland,1700,2010,1362.5,217107,374,1.18625
Peas & beans (Pulses),2006,Rabi       ,Nagaland,7300,8790,1362.5,932283,1606,1.20375
Potato,2006,Kharif     ,Nagaland,3500,31420,1362.5,446985,770,8.96
Rice,2006,Kharif     ,Nagaland,163680,261920,1362.5,20903572.8,36009.6,1.595
Rice,2006,Rabi       ,Nagaland,1000,1600,1362.5,127710,220,1.605
Wheat,2006,Rabi       ,Nagaland,1500,1250,1362.5,191565,330,0.86
Cotton(lint),2006,Kharif     ,Punjab,604000,2678000,569.6,77136840,132880,4.236
Peas & beans (Pulses),2006,Rabi       ,Punjab,3100,3600,569.6,395901,682,1.059090909
Rice,2006,Kharif     ,Punjab,2621000,10138000,569.6,334727910,576620,3.75
Wheat,2006,Rabi       ,Punjab,3467000,14596000,569.6,442770570,762740,4.148421053
Cotton(lint),2006,Kharif     ,Tripura,1148,1598,1764.3,146611.08,252.56,1.375
Peas & beans (Pulses),2006,Rabi       ,Tripura,828,622,1764.3,105743.88,182.16,0.74
Rice,2006,Kharif     ,Tripura,250939,628200,1764.3,32047419.69,55206.58,2.4225
Wheat,2006,Rabi       ,Tripura,970,1845,1764.3,123878.7,213.4,1.885
Banana,2006,Whole Year ,Uttar Pradesh,2002,77709,590.5,255675.42,440.44,38.84296296
Cotton(lint),2006,Kharif     ,Uttar Pradesh,5174,1105,590.5,660771.54,1138.28,0.197857143
Onion,2006,Rabi       ,Uttar Pradesh,7525,144345,590.5,961017.75,1655.5,19.17927536
Onion,2006,Summer     ,Uttar Pradesh,13173,153400,590.5,1682323.83,2898.06,11.64536232
Potato,2006,Rabi       ,Uttar Pradesh,469301,10247912,590.5,59934430.71,103246.22,20.56657143
Rice,2006,Kharif     ,Uttar Pradesh,5902577,11082993,590.5,753818108.7,1298566.94,1.846
Rice,2006,Summer     ,Uttar Pradesh,18175,40620,590.5,2321129.25,3998.5,1.995
Wheat,2006,Rabi       ,Uttar Pradesh,9197642,25443428,590.5,1174630860,2023481.24,2.725428571
Onion,2006,Whole Year ,Uttarakhand,2116,11886,1178.9,270234.36,465.52,6.464615385
Peas & beans (Pulses),2006,Rabi       ,Uttarakhand,5003,4902,1178.9,638933.13,1100.66,0.772307692
Potato,2006,Kharif     ,Uttarakhand,8274,83792,1178.9,1056672.54,1820.28,9.942727273
Potato,2006,Rabi       ,Uttarakhand,7099,77930,1178.9,906613.29,1561.78,9.773846154
Rice,2006,Kharif     ,Uttarakhand,273662,540128,1178.9,34949374.02,60205.64,1.645384615
Rice,2006,Rabi       ,Uttarakhand,9923,31208,1178.9,1267266.33,2183.06,3.145
Wheat,2006,Rabi       ,Uttarakhand,377870,796548,1178.9,48257777.7,83131.4,1.760769231
Onion,2006,Rabi       ,Jharkhand,2914.72,16719,1465.1,372238.8912,641.2384,5.84
Potato,2006,Rabi       ,Jharkhand,13341.72,108295,1465.1,1703871.061,2935.1784,8.043636364
Potato,2006,Winter     ,Jharkhand,20693.26,157358,1465.1,2642736.235,4552.5172,7.690909091
Rice,2006,Autumn     ,Jharkhand,183635.05,254351,1465.1,23452032.24,40399.711,1.274545455
Rice,2006,Winter     ,Jharkhand,995583.37,1175595,1465.1,127145952.2,219028.3414,1.208181818
Wheat,2006,Rabi       ,Jharkhand,124418.04,163905,1465.1,15889427.89,27371.9688,1.280454545
Cotton(lint),2007,Kharif     ,Andhra Pradesh,1134000,3489000,1004.2,151275600,181440,2.668
Onion,2007,Kharif     ,Andhra Pradesh,23000,370000,1004.2,3068200,3680,13.81571429
Onion,2007,Rabi       ,Andhra Pradesh,14000,270000,1004.2,1867600,2240,18.07142857
Rice,2007,Kharif     ,Andhra Pradesh,2578000,8191000,1004.2,343905200,412480,3.094545455
Rice,2007,Rabi       ,Andhra Pradesh,1406000,5133000,1004.2,187560400,224960,3.159090909
Wheat,2007,Rabi       ,Andhra Pradesh,8000,8000,1004.2,1067200,1280,1
Banana,2007,Whole Year ,Bihar,17872,233609,1600.2,2384124.8,2859.52,15.2126087
Onion,2007,Whole Year ,Bihar,15216,136730,1600.2,2029814.4,2434.56,8.736111111
Peas & beans (Pulses),2007,Rabi       ,Bihar,23288,25083,1600.2,3106619.2,3726.08,1.094324324
Potato,2007,Whole Year ,Bihar,153909,1244108,1600.2,20531460.6,24625.44,8.115
Rice,2007,Autumn     ,Bihar,524266,318517,1600.2,69937084.4,83882.56,0.617
Rice,2007,Summer     ,Bihar,110440,172291,1600.2,14732696,17670.4,1.416666667
Rice,2007,Winter     ,Bihar,2842665,3967956,1600.2,379211511,454826.4,1.260789474
Wheat,2007,Rabi       ,Bihar,2131232,4977463,1600.2,284306348.8,340997.12,2.228421053
Cotton(lint),2007,Kharif     ,Chhattisgarh,50,68,1246.2,6670,8,1.15
Onion,2007,Whole Year ,Chhattisgarh,4372,20891,1246.2,583224.8,699.52,5.119411765
Peas & beans (Pulses),2007,Rabi       ,Chhattisgarh,16315,5887,1246.2,2176421,2610.4,0.3325
Potato,2007,Kharif     ,Chhattisgarh,1910,8060,1246.2,254794,305.6,6.440909091
Potato,2007,Rabi       ,Chhattisgarh,9653,40677,1246.2,1287710.2,1544.48,5.00875
Rice,2007,Kharif     ,Chhattisgarh,3902881,5634972,1246.2,520644325.4,624460.96,1.393888889
Wheat,2007,Rabi       ,Chhattisgarh,95020,104548,1246.2,12675668,15203.2,1.299444444
Banana,2007,Whole Year ,Gujarat,31200,2033100,1021.6,4162080,4992,57.96166667
Cotton(lint),2007,Kharif     ,Gujarat,2422000,8275700,1021.6,323094800,387520,3.345909091
Onion,2007,Whole Year ,Gujarat,65400,2059200,1021.6,8724360,10464,28.88190476
Potato,2007,Whole Year ,Gujarat,72300,1795600,1021.6,9644820,11568,24.42333333
Rice,2007,Kharif     ,Gujarat,726000,1376300,1021.6,96848400,116160,1.8325
Rice,2007,Summer     ,Gujarat,32600,97900,1021.6,4348840,5216,3.043333333
Wheat,2007,Rabi       ,Gujarat,1273900,3837700,1021.6,169938260,203824,2.9304
Cotton(lint),2007,Kharif     ,Haryana,482474,1882000,443.8,64362031.6,77195.84,1.882777778
Onion,2007,Whole Year ,Haryana,3193,63700,443.8,425946.2,510.88,18.20733333
Peas & beans (Pulses),2007,Rabi       ,Haryana,1040,1200,443.8,138736,166.4,0.663333333
Potato,2007,Whole Year ,Haryana,9917,177600,443.8,1322927.8,1586.72,15.53166667
Rice,2007,Kharif     ,Haryana,1072545,3606000,443.8,143077503,171607.2,3.191578947
Wheat,2007,Rabi       ,Haryana,2460680,10232000,443.8,328254712,393708.8,4.036
Cotton(lint),2007,Kharif     ,Himachal Pradesh,63,29,1095.4,8404.2,10.08,0.506666667
Onion,2007,Rabi       ,Himachal Pradesh,823,7036,1095.4,109788.2,131.68,8.408
Peas & beans (Pulses),2007,Kharif     ,Himachal Pradesh,10051,22296,1095.4,1340803.4,1608.16,1.791818182
Potato,2007,Kharif     ,Himachal Pradesh,13583,123839,1095.4,1811972.2,2173.28,9.051666667
Rice,2007,Kharif     ,Himachal Pradesh,78571,121453,1095.4,10481371.4,12571.36,1.686363636
Wheat,2007,Rabi       ,Himachal Pradesh,366592,504360,1095.4,48903372.8,58654.72,1.500833333
Banana,2007,Whole Year ,Madhya Pradesh,7543,470299,740.4,1006236.2,1206.88,43.1125
Cotton(lint),2007,Kharif     ,Madhya Pradesh,617943,145959,740.4,82433596.2,98870.88,0.448571429
Onion,2007,Whole Year ,Madhya Pradesh,41376,601524,740.4,5519558.4,6620.16,12.21604167
Peas & beans (Pulses),2007,Rabi       ,Madhya Pradesh,169653,66664,740.4,22631710.2,27144.48,0.416595745
Potato,2007,Whole Year ,Madhya Pradesh,56663,713614,740.4,7558844.2,9066.08,11.41729167
Rice,2007,Kharif     ,Madhya Pradesh,1634912,1325175,740.4,218097260.8,261585.92,0.875
Wheat,2007,Rabi       ,Madhya Pradesh,4089343,6729363,740.4,545518356.2,654294.88,1.548958333
Cotton(lint),2007,Kharif     ,Maharashtra,3195400,7014900,1257.2,426266360,511264,2.172962963
Rice,2007,Kharif     ,Maharashtra,1535300,2912800,1257.2,204809020,245648,1.377241379
Rice,2007,Summer     ,Maharashtra,41400,98700,1257.2,5522760,6624,2.486
Wheat,2007,Rabi       ,Maharashtra,1252800,2371100,1257.2,167123520,200448,1.782333333
Cotton(lint),2007,Kharif     ,Meghalaya,7186,6531,4702,958612.4,1149.76,0.896666667
Rice,2007,Autumn     ,Meghalaya,32604,37918,4702,4349373.6,5216.64,1.498571429
Rice,2007,Summer     ,Meghalaya,11546,48132,4702,1540236.4,1847.36,2.022857143
Rice,2007,Winter     ,Meghalaya,62170,114027,4702,8293478,9947.2,1.812857143
Wheat,2007,Rabi       ,Meghalaya,622,1120,4702,82974.8,99.52,1.2425
Cotton(lint),2007,Kharif     ,Nagaland,150,40,1769,20010,24,0.365
Peas & beans (Pulses),2007,Rabi       ,Nagaland,6020,8060,1769,803068,963.2,1.39
Potato,2007,Kharif     ,Nagaland,2500,35850,1769,333500,400,15.335
Rice,2007,Kharif     ,Nagaland,166000,308800,1769,22144400,26560,1.8275
Rice,2007,Rabi       ,Nagaland,1500,2500,1769,200100,240,1.66
Wheat,2007,Rabi       ,Nagaland,1150,1800,1769,153410,184,1.56375
Cotton(lint),2007,Kharif     ,Punjab,604000,2355000,527.2,80573600,96640,4.037272727
Rice,2007,Kharif     ,Punjab,2610000,10489000,527.2,348174000,417600,3.968
Wheat,2007,Rabi       ,Punjab,3488000,15720000,527.2,465299200,558080,4.4775
Cotton(lint),2007,Kharif     ,Tripura,1110,1504,2831.8,148074,177.6,1.3425
Peas & beans (Pulses),2007,Rabi       ,Tripura,644,454,2831.8,85909.6,103.04,0.6925
Rice,2007,Kharif     ,Tripura,252897,640424,2831.8,33736459.8,40463.52,2.4375
Wheat,2007,Rabi       ,Tripura,1023,1889,2831.8,136468.2,163.68,1.88
Cotton(lint),2007,Kharif     ,Uttar Pradesh,4260,1162,672.9,568284,681.6,0.247272727
Onion,2007,Rabi       ,Uttar Pradesh,9846,137576,672.9,1313456.4,1575.36,13.97314286
Onion,2007,Summer     ,Uttar Pradesh,11716,158183,672.9,1562914.4,1874.56,13.49166667
Potato,2007,Rabi       ,Uttar Pradesh,504858,11094868,672.9,67348057.2,80777.28,20.87428571
Rice,2007,Kharif     ,Uttar Pradesh,5690539,11731754,672.9,759117902.6,910486.24,1.962
Rice,2007,Summer     ,Uttar Pradesh,18849,48358,672.9,2514456.6,3015.84,2.152142857
Wheat,2007,Rabi       ,Uttar Pradesh,9114880,25679089,672.9,1215924992,1458380.8,2.723571429
Onion,2007,Whole Year ,Uttarakhand,1976,10098,1924.3,263598.4,316.16,5.836923077
Peas & beans (Pulses),2007,Rabi       ,Uttarakhand,3903,3518,1924.3,520660.2,624.48,0.713076923
Potato,2007,Kharif     ,Uttarakhand,7539,72247,1924.3,1005702.6,1206.24,9.379090909
Potato,2007,Rabi       ,Uttarakhand,6693,53843,1924.3,892846.2,1070.88,7.861538462
Rice,2007,Kharif     ,Uttarakhand,259805,523203,1924.3,34657987,41568.8,1.709230769
Rice,2007,Summer     ,Uttarakhand,12364,41864,1924.3,1649357.6,1978.24,3.423333333
Wheat,2007,Rabi       ,Uttarakhand,372919,798233,1924.3,49747394.6,59667.04,1.673846154
Onion,2007,Rabi       ,Jharkhand,2958.96,18582,1444.7,394725.264,473.4336,6.168947368
Potato,2007,Rabi       ,Jharkhand,16143.02,113147,1444.7,2153478.868,2582.8832,7.252272727
Potato,2007,Winter     ,Jharkhand,20307.19,159162,1444.7,2708979.146,3249.1504,11.36809524
Rice,2007,Autumn     ,Jharkhand,183323.17,163692,1444.7,24455310.88,29331.7072,0.899047619
Rice,2007,Winter     ,Jharkhand,1014731.14,1306932,1444.7,135365134.1,162356.9824,1.306363636
Wheat,2007,Rabi       ,Jharkhand,54845.72,68534,1444.7,7316419.048,8775.3152,1.432727273
Onion,2008,Whole Year ,Bihar,14805,137545,1197.7,2117707.2,1332.45,8.775714286
Peas & beans (Pulses),2008,Rabi       ,Bihar,23768,22865,1197.7,3399774.72,2139.12,0.957567568
Potato,2008,Kharif     ,Bihar,60334,452453,1197.7,8630175.36,5430.06,7.518157895
Potato,2008,Rabi       ,Bihar,91591,488043,1197.7,13101176.64,8243.19,5.246486486
Rice,2008,Autumn     ,Bihar,546872,727414,1197.7,78224570.88,49218.48,1.230344828
Rice,2008,Summer     ,Bihar,105526,178240,1197.7,15094439.04,9497.34,1.641
Rice,2008,Winter     ,Bihar,2842875,4684328,1197.7,406644840,255858.75,1.545789474
Wheat,2008,Rabi       ,Bihar,2158345,4413017,1197.7,308729668.8,194251.05,1.984473684
Coconut ,2008,Kharif     ,Chhattisgarh,77,0,1117.9,11014.08,6.93,0
Cotton(lint),2008,Kharif     ,Chhattisgarh,25,32,1117.9,3576,2.25,1.25
Onion,2008,Whole Year ,Chhattisgarh,4332,22242,1117.9,619649.28,389.88,5.273125
Peas & beans (Pulses),2008,Rabi       ,Chhattisgarh,16892,6089,1117.9,2416231.68,1520.28,0.34125
Potato,2008,Kharif     ,Chhattisgarh,690,2668,1117.9,98697.6,62.1,1.342857143
Potato,2008,Rabi       ,Chhattisgarh,10093,42582,1117.9,1443702.72,908.37,4.63
Rice,2008,Kharif     ,Chhattisgarh,3928815,4707499,1117.9,561977697.6,353593.35,1.198333333
Wheat,2008,Rabi       ,Chhattisgarh,94834,97424,1117.9,13565055.36,8535.06,1.15
Banana,2008,Whole Year ,Gujarat,28200,2002900,746.1,4033728,2538,72.95916667
Cotton(lint),2008,Kharif     ,Gujarat,2353600,7013800,746.1,336658944,211824,3.120434783
Onion,2008,Rabi       ,Gujarat,54400,1502800,746.1,7781376,4896,26.605
Potato,2008,Whole Year ,Gujarat,55800,1171400,746.1,7981632,5022,20.86636364
Rice,2008,Kharif     ,Gujarat,722100,1225500,746.1,103289184,64989,1.615294118
Rice,2008,Summer     ,Gujarat,25200,77400,746.1,3604608,2268,2.921111111
Wheat,2008,Rabi       ,Gujarat,1091400,2592600,746.1,156113856,98226,2.349615385
Cotton(lint),2008,Kharif     ,Haryana,456086,1862000,715.6,65238541.44,41047.74,1.7835
Onion,2008,Whole Year ,Haryana,2492,37400,715.6,356455.68,224.28,178.6530769
Peas & beans (Pulses),2008,Rabi       ,Haryana,869,900,715.6,124301.76,78.21,0.553636364
Potato,2008,Whole Year ,Haryana,11938,258600,715.6,1707611.52,1074.42,19.08769231
Rice,2008,Kharif     ,Haryana,1211149,3299000,715.6,173242753,109003.41,2.569
Wheat,2008,Rabi       ,Haryana,2461420,11360000,715.6,352081516.8,221527.8,4.437142857
Cotton(lint),2008,Kharif     ,Himachal Pradesh,45,21,1357.1,6436.8,4.05,0.48
Onion,2008,Rabi       ,Himachal Pradesh,776,4611,1357.1,110999.04,69.84,5.795
Peas & beans (Pulses),2008,Kharif     ,Himachal Pradesh,887,1116,1357.1,126876.48,79.83,1.17
Peas & beans (Pulses),2008,Rabi       ,Himachal Pradesh,8395,11461,1357.1,1200820.8,755.55,1.122727273
Potato,2008,Kharif     ,Himachal Pradesh,7954,78928,1357.1,1137740.16,715.86,11.051
Potato,2008,Rabi       ,Himachal Pradesh,3889,24702,1357.1,556282.56,350.01,4.299
Rice,2008,Kharif     ,Himachal Pradesh,77709,118277,1357.1,11115495.36,6993.81,1.6
Wheat,2008,Rabi       ,Himachal Pradesh,359961,381180,1357.1,51488821.44,32396.49,1.080833333
Banana,2008,Whole Year ,Madhya Pradesh,7847,397231,895,1122434.88,706.23,33.19923077
Cotton(lint),2008,Kharif     ,Madhya Pradesh,612277,143451,895,87580102.08,55104.93,0.199047619
Onion,2008,Whole Year ,Madhya Pradesh,40146,582438,895,5742483.84,3613.14,12.0858
Peas & beans (Pulses),2008,Rabi       ,Madhya Pradesh,202535,99172,895,28970606.4,18228.15,0.4734
Potato,2008,Whole Year ,Madhya Pradesh,56301,649826,895,8053295.04,5067.09,11.0325
Rice,2008,Kharif     ,Madhya Pradesh,1706557,1571103,895,244105913.3,153590.13,0.911020408
Wheat,2008,Rabi       ,Madhya Pradesh,3997666,7272210,895,571826144.6,359789.94,1.764
Cotton(lint),2008,Kharif     ,Maharashtra,3146000,4752300,1052.8,450003840,283140,1.516296296
Rice,2008,Kharif     ,Maharashtra,1499500,2234300,1052.8,214488480,134955,1.170740741
Rice,2008,Summer     ,Maharashtra,22000,53200,1052.8,3146880,1980,2.421111111
Wheat,2008,Rabi       ,Maharashtra,1021800,1516400,1052.8,146158272,91962,1.431666667
Banana,2008,Whole Year ,Manipur,4991,64424,1134.8,713912.64,449.19,12.91
Peas & beans (Pulses),2008,Rabi       ,Manipur,15492,12869,1134.8,2215975.68,1394.28,0.842222222
Potato,2008,Whole Year ,Manipur,13000,108000,1134.8,1859520,1170,8.165555556
Rice,2008,Kharif     ,Manipur,210990,518250,1134.8,30180009.6,18989.1,2.134444444
Wheat,2008,Rabi       ,Manipur,2050,5120,1134.8,293232,184.5,2.495
Cotton(lint),2008,Kharif     ,Nagaland,110,60,1540.9,15734.4,9.9,0.53
Peas & beans (Pulses),2008,Kharif     ,Nagaland,2140,2990,1540.9,306105.6,192.6,1.39
Peas & beans (Pulses),2008,Rabi       ,Nagaland,6420,8860,1540.9,918316.8,577.8,1.356363636
Potato,2008,Kharif     ,Nagaland,2910,35790,1540.9,416246.4,261.9,12.38272727
Potato,2008,Rabi       ,Nagaland,2700,33350,1540.9,386208,243,12.29
Rice,2008,Kharif     ,Nagaland,173100,345090,1540.9,24760224,15579,1.964545455
Wheat,2008,Rabi       ,Nagaland,1380,2070,1540.9,197395.2,124.2,1.502222222
Cotton(lint),2008,Kharif     ,Punjab,527000,2285000,691.3,75382080,47430,4.371818182
Peas & beans (Pulses),2008,Rabi       ,Punjab,2000,2300,691.3,286080,180,0.964285714
Rice,2008,Kharif     ,Punjab,2735000,11000000,691.3,391214400,246150,3.9855
Wheat,2008,Rabi       ,Punjab,3466000,15733000,691.3,495776640,311940,4.5035
Cotton(lint),2008,Kharif     ,Tripura,969,1424,1827.8,138605.76,87.21,1.435
Peas & beans (Pulses),2008,Rabi       ,Tripura,599,494,1827.8,85680.96,53.91,0.8675
Rice,2008,Kharif     ,Tripura,242966,627175,1827.8,34753856.64,21866.94,2.525
Wheat,2008,Rabi       ,Tripura,635,1195,1827.8,90830.4,57.15,1.905
Banana,2008,Summer     ,Uttar Pradesh,1991,75867,891.6,284792.64,179.19,38.08033333
Cotton(lint),2008,Kharif     ,Uttar Pradesh,3556,781,891.6,508650.24,320.04,0.231111111
Onion,2008,Rabi       ,Uttar Pradesh,10161,119110,891.6,1453429.44,914.49,11.71728571
Peas & beans (Pulses),2008,Rabi       ,Uttar Pradesh,351030,423753,891.6,50211331.2,31592.7,1.223043478
Potato,2008,Rabi       ,Uttar Pradesh,527347,10809926,891.6,75431714.88,47461.23,18.97342857
Rice,2008,Kharif     ,Uttar Pradesh,6011761,13051365,891.6,859922293.4,541058.49,2.124428571
Rice,2008,Summer     ,Uttar Pradesh,21621,45666,891.6,3092667.84,1945.89,2.095
Wheat,2008,Rabi       ,Uttar Pradesh,9513039,28554178,891.6,1360745099,856173.51,2.959857143
Onion,2008,Whole Year ,Uttarakhand,1869,7920,1363.7,267341.76,168.21,5.134615385
Peas & beans (Pulses),2008,Rabi       ,Uttarakhand,3516,1504,1363.7,502928.64,316.44,0.373076923
Potato,2008,Kharif     ,Uttarakhand,7723,72666,1363.7,1104697.92,695.07,10.52181818
Potato,2008,Rabi       ,Uttarakhand,6266,67396,1363.7,896288.64,563.94,9.419230769
Rice,2008,Kharif     ,Uttarakhand,275711,528524,1363.7,39437701.44,24813.99,1.627692308
Rice,2008,Summer     ,Uttarakhand,12654,39797,1363.7,1810028.16,1138.86,3.1
Wheat,2008,Rabi       ,Uttarakhand,379081,770934,1363.7,54223746.24,34117.29,1.491538462
Onion,2008,Rabi       ,Jammu and Kashmir,383,932,1390.1,54784.32,34.47,2.4475
Peas & beans (Pulses),2008,Rabi       ,Jammu and Kashmir,1109,1116,1390.1,158631.36,99.81,0.893846154
Potato,2008,Rabi       ,Jammu and Kashmir,934,9338,1390.1,133599.36,84.06,16.446
Wheat,2008,Rabi       ,Jammu and Kashmir,274022,492140,1390.1,39196106.88,24661.98,1.435714286
Onion,2008,Rabi       ,Jharkhand,3049.28,15459,1295.2,436169.0112,274.4352,4.964347826
Potato,2008,Rabi       ,Jharkhand,16032.93,107587,1295.2,2293350.307,1442.9637,5.73375
Potato,2008,Winter     ,Jharkhand,21288.72,138075,1295.2,3045138.509,1915.9848,6.666190476
Rice,2008,Autumn     ,Jharkhand,188422.33,162674,1295.2,26951930.08,16958.0097,0.868695652
Rice,2008,Winter     ,Jharkhand,1008437.16,1333906,1295.2,144246851.4,90759.3444,1.39125
Wheat,2008,Rabi       ,Jharkhand,58602.34,79871,1295.2,8382478.714,5274.2106,1.43625
Peas & beans (Pulses),2009,Rabi       ,Bihar,19936,19953,889.3,3106427.52,3389.12,1
Rice,2009,Autumn     ,Bihar,525890,471321,889.3,81944179.8,89401.3,0.905666667
Rice,2009,Summer     ,Bihar,95682,176656,889.3,14909169.24,16265.94,1.492083333
Rice,2009,Winter     ,Bihar,2502458,2992233,889.3,389933005.6,425417.86,1.105526316
Wheat,2009,Rabi       ,Bihar,2116098,4403841,889.3,329730390.4,359736.66,2.076315789
Cotton(lint),2009,Whole Year ,Chhattisgarh,18,0,956.9,2804.76,3.06,0
Onion,2009,Whole Year ,Chhattisgarh,5013,22924,956.9,781125.66,852.21,4.292666667
Peas & beans (Pulses),2009,Rabi       ,Chhattisgarh,14765,5062,956.9,2300682.3,2510.05,0.311764706
Potato,2009,Whole Year ,Chhattisgarh,12076,45830,956.9,1881682.32,2052.92,4.504666667
Rice,2009,Kharif     ,Chhattisgarh,3837610,4347316,956.9,597976390.2,652393.7,1.106666667
Wheat,2009,Rabi       ,Chhattisgarh,109163,118923,956.9,17009778.66,18557.71,1.301764706
Banana,2009,Whole Year ,Gujarat,22100,1605500,618,3443622,3757,65.11
Cotton(lint),2009,Kharif     ,Gujarat,2464400,7401000,618,384002808,418948,3.094782609
Onion,2009,Rabi       ,Gujarat,38500,1051400,618,5999070,6545,26.69277778
Potato,2009,Whole Year ,Gujarat,47300,987900,618,7370286,8041,18.8975
Rice,2009,Kharif     ,Gujarat,658500,1228400,618,102607470,111945,1.693529412
Rice,2009,Summer     ,Gujarat,21000,64600,618,3272220,3570,3.034444444
Wheat,2009,Rabi       ,Gujarat,878000,2351300,618,136809960,149260,2.617692308
Cotton(lint),2009,Kharif     ,Haryana,505082,1918000,393,78701877.24,85863.94,1.896111111
Onion,2009,Whole Year ,Haryana,1535,31300,393,239183.7,260.95,19.35785714
Peas & beans (Pulses),2009,Rabi       ,Haryana,1651,1600,393,257258.82,280.67,0.586875
Potato,2009,Whole Year ,Haryana,12269,136400,393,1911755.58,2085.73,17.30357143
Rice,2009,Kharif     ,Haryana,1206435,3628000,393,187986701.7,205093.95,2.673809524
Wheat,2009,Rabi       ,Haryana,2487756,10488000,393,387642139.9,422918.52,4.133809524
Cotton(lint),2009,Kharif     ,Himachal Pradesh,8,2,969.9,1246.56,1.36,0.335
Onion,2009,Rabi       ,Himachal Pradesh,918,5392,969.9,143042.76,156.06,5.744
Peas & beans (Pulses),2009,Kharif     ,Himachal Pradesh,817,748,969.9,127304.94,138.89,0.97
Peas & beans (Pulses),2009,Rabi       ,Himachal Pradesh,8250,10245,969.9,1285515,1402.5,1.333636364
Potato,2009,Kharif     ,Himachal Pradesh,6436,64758,969.9,1002857.52,1094.12,11.582
Potato,2009,Rabi       ,Himachal Pradesh,3406,23611,969.9,530722.92,579.02,4.67
Rice,2009,Kharif     ,Himachal Pradesh,76186,105787,969.9,11871302.52,12951.62,1.484545455
